hour,bus_i,type,Pd
1,1,1,5
1,2,3,15
1,3,1,20
2,1,1,10
2,2,3,15
2,3,1,25
3,1,1,15
3,2,3,15
3,3,1,25
4,1,1,20
4,2,3,25
4,3,1,20
5,1,1,15
5,2,3,25
5,3,1,35
6,1,1,30
6,2,3,35
6,3,1,40
7,1,1,35
7,2,3,40
7,3,1,50
8,1,1,25
8,2,3,30
8,3,1,45
9,1,1,20
9,2,3,25
9,3,1,30
10,1,1,25
10,2,3,30
10,3,1,20
11,1,1,20
11,2,3,30
11,3,1,30
12,1,1,30
12,2,3,25
12,3,1,35
13,1,1,20
13,2,3,30
13,3,1,50
14,1,1,30
14,2,3,40
14,3,1,50
15,1,1,25
15,2,3,20
15,3,1,30
16,1,1,20
16,2,3,25
16,3,1,35
17,1,1,20
17,2,3,25
17,3,1,20
18,1,1,20
18,2,3,15
18,3,1,20
19,1,1,30
19,2,3,20
19,3,1,25
20,1,1,30
20,2,3,40
20,3,1,30
21,1,1,25
21,2,3,50
21,3,1,40
22,1,1,25
22,2,3,30
22,3,1,25
23,1,1,15
23,2,3,20
23,3,1,25
24,1,1,10
24,2,3,25
24,3,1,15
