hour,P_solar_av_MW,P_solar_use_MW,Pd_MW,P_curt_RES_MW
1,0.0,0.0,5.0,0.0
2,0.0,0.0,10.0,0.0
3,0.0,0.0,15.0,0.0
4,0.0,0.0,20.0,0.0
5,0.0,0.0,15.0,0.0
6,0.0,0.0,30.0,0.0
7,20.0,20.0,35.0,0.0
8,40.0,40.0,25.0,0.0
9,60.0,60.0,20.0,0.0
10,70.0,70.0,25.0,0.0
11,80.0,80.0,20.0,0.0
12,90.0,85.0,30.0,5.0
13,100.0,65.0,20.0,35.0
14,90.0,75.0,30.0,15.0
15,80.0,45.0,25.0,35.0
16,60.0,60.0,20.0,0.0
17,40.0,40.0,20.0,0.0
18,20.0,20.0,20.0,0.0
19,0.0,0.0,30.0,0.0
20,0.0,0.0,30.0,0.0
21,0.0,0.0,25.0,0.0
22,0.0,0.0,25.0,0.0
23,0.0,0.0,15.0,0.0
24,0.0,0.0,10.0,0.0
