hour,P_gen_gas_MW,P_gen_bio_MW,P_gen_total_MW,Pd_MW
1,0.0,25.999999999999485,25.999999999999485,15.0
2,0.0,27.999999999999503,27.999999999999503,15.0
3,0.0,29.999999999999673,29.999999999999673,15.0
4,0.0,31.999999999999673,31.999999999999673,25.0
5,40.0,33.99999999999976,73.99999999999976,25.0
6,40.0,35.99999999999983,75.99999999999983,35.0
7,40.0,37.999999999999865,77.99999999999986,40.0
8,0.0,39.99999999999997,39.99999999999997,30.0
9,0.0,37.99999999999982,37.99999999999982,25.0
10,0.0,35.9999999999997,35.9999999999997,30.0
11,0.0,33.99999999999965,33.99999999999965,30.0
12,0.0,35.99999999999962,35.99999999999962,25.0
13,0.0,37.99999999999979,37.99999999999979,30.0
14,0.0,39.99999999999997,39.99999999999997,40.0
15,0.0,37.9999999999998,37.9999999999998,20.0
16,0.0,38.9999999999987,38.9999999999987,25.0
17,0.0,40.999999999998714,40.999999999998714,25.0
18,0.0,42.99999999999873,42.99999999999873,15.0
19,0.0,44.99999999999874,44.99999999999874,20.0
20,40.0,42.999999999998685,82.99999999999869,40.0
21,40.0,45.0,85.0,50.0
22,0.0,44.99999999999476,44.99999999999476,30.0
23,0.0,42.999999999994756,42.999999999994756,20.0
24,0.0,40.99999999999474,40.99999999999474,25.0
