hour,P_wind_av_MW,P_wind_use_MW,Pd_MW,P_curt_RES_MW
1,20.0,14.000000000000519,20.0,5.99999999999948
2,25.0,22.000000000000497,25.0,2.999999999999503
3,30.0,25.0,25.0,5.0
4,35.0,33.000000000000334,20.0,1.9999999999996687
5,30.0,1.000000000000231,35.0,28.99999999999977
6,35.0,29.000000000000185,40.0,5.999999999999817
7,30.0,30.0,50.0,0.0
8,20.0,20.0,45.0,0.0
9,15.0,15.0,30.0,0.0
10,20.0,20.0,20.0,0.0
11,10.0,0.0,30.0,10.0
12,5.0,5.0,35.0,0.0
13,5.0,5.0,50.0,0.0
14,5.0,5.0,50.0,0.0
15,15.0,0.0,30.0,15.0
16,20.0,20.0,35.0,0.0
17,25.0,24.000000000001286,20.0,0.999999999998713
18,35.0,0.0,20.0,35.0
19,30.0,30.0,25.0,0.0
20,20.0,17.000000000001307,30.0,2.9999999999986926
21,30.0,30.0,40.0,0.0
22,35.0,35.0,25.0,0.0
23,25.0,17.00000000000525,25.0,7.99999999999475
24,25.0,9.000000000005262,15.0,15.999999999994738
