hour,fbus,tbus,flow,line
1,1,2,-10.000000000000997,1
1,1,3,5.0000000000009965,2
1,2,3,15.000000000001995,3
2,1,2,-11.666666666666666,1
2,1,3,1.666666666666667,2
2,2,3,13.333333333333334,3
3,1,2,-13.333333333333334,1
3,1,3,-1.6666666666666652,2
3,2,3,11.66666666666667,3
4,1,2,-11.666666666666666,1
4,1,3,-8.333333333333332,2
4,2,3,3.333333333333334,3
5,1,2,-16.666666666666664,1
5,1,3,1.666666666666549,2
5,2,3,18.333333333333215,3
6,1,2,-21.666666666666668,1
6,1,3,-8.333333333333332,2
6,2,3,13.333333333333336,3
7,1,2,-16.666666666666664,1
7,1,3,1.66666666666666,2
7,2,3,18.333333333333325,3
8,1,2,1.6666666666666843,1
8,1,3,13.333333333333341,2
8,2,3,11.666666666666659,3
9,1,2,21.666666666666664,1
9,1,3,18.33333333333333,2
9,2,3,-3.333333333333335,3
10,1,2,24.999999999999996,1
10,1,3,19.999999999999996,2
10,2,3,-4.999999999999999,3
11,1,2,30.0,1
11,1,3,30.0,2
11,2,3,0.0,3
12,1,2,26.666666666666668,1
12,1,3,28.333333333333332,2
12,2,3,1.666666666666667,3
13,1,2,14.999999999999991,1
13,1,3,29.999999999999993,2
13,2,3,15.000000000000002,3
14,1,2,14.999999999999996,1
14,1,3,30.0,2
14,2,3,15.000000000000002,3
15,1,2,3.33333333333333,1
15,1,3,16.666666666666664,2
15,2,3,13.333333333333334,3
16,1,2,21.666666666666664,1
16,1,3,18.33333333333333,2
16,2,3,-3.333333333333335,3
17,1,2,15.0,1
17,1,3,4.999999999999999,2
17,2,3,-10.0,3
18,1,2,5.000000000000002,1
18,1,3,-4.999999999999998,2
18,2,3,-10.0,3
19,1,2,-18.33333333333294,1
19,1,3,-11.666666666667059,2
19,2,3,6.666666666665884,3
20,1,2,-23.333333333333332,1
20,1,3,-6.666666666666665,2
20,2,3,16.666666666666664,3
21,1,2,-20.000000000000004,1
21,1,3,-4.999999999999997,2
21,2,3,15.000000000000007,3
22,1,2,-19.999999999999964,1
22,1,3,-5.0000000000000355,2
22,2,3,14.99999999999993,3
23,1,2,-9.999999999999996,1
23,1,3,-5.000000000000003,2
23,2,3,4.999999999999994,3
24,1,2,-3.3333333333332966,1
24,1,3,-6.666666666666704,2
24,2,3,-3.3333333333334068,3
