hour,net_bus1_MW,net_bus2_MW,net_bus3_MW
1,-5.0,25.00000000000299,-20.00000000000299
2,-10.0,25.0,-15.0
3,-15.0,25.000000000000004,-10.000000000000004
4,-20.0,15.0,4.999999999999998
5,-15.000000000000115,34.99999999999988,-19.999999999999766
6,-30.0,35.0,-5.0000000000000036
7,-15.000000000000004,34.999999999999986,-19.999999999999986
8,15.000000000000025,9.999999999999975,-25.0
9,39.99999999999999,-25.0,-14.999999999999993
10,44.99999999999999,-29.999999999999996,-14.999999999999996
11,60.0,-30.0,-30.0
12,55.0,-25.0,-30.0
13,44.999999999999986,1.0658141036401503e-14,-44.99999999999999
14,45.0,5.329070518200751e-15,-45.0
15,19.999999999999993,10.000000000000004,-30.0
16,39.99999999999999,-25.0,-14.999999999999993
17,20.0,-25.0,5.000000000000001
18,3.552713678800501e-15,-15.000000000000002,14.999999999999998
19,-30.0,24.999999999998824,5.000000000001175
20,-29.999999999999996,40.0,-10.0
21,-25.0,35.000000000000014,-10.00000000000001
22,-25.0,34.99999999999989,-9.999999999999895
23,-15.0,14.99999999999999,8.881784197001252e-15
24,-10.0,-1.1013412404281553e-13,10.00000000000011
