hour,operation_cost
1,870909.0001066797
2,814797.0000299595
3,784193.0000410199
4,787538.9999005999
5,818535.0000478802
6,904851.9999754999
7,947586.9999628286
8,737189.2015662208
9,577341.5947252825
10,510460.93671348813
11,461551.489199053
12,460847.8178229044
13,424622.98407924443
14,409645.7677906777
15,384531.546211749
16,372154.23775951494
17,375264.06223398884
18,435856.1356700253
19,668996.1165408862
20,939473.0000727298
21,1.4072490000233802e6
22,1.2910480000855397e6
23,1.1777740000023793e6
24,1.0291539999831291e6
-1,1.7591571890544657e7
