hour,bus,P_thermal_MW,P_solar_MW,P_wind_MW,P_demand_MW,P_curtailment_MW
1,1,1330.0,0.0,352.694339,965.8559224,0.0
1,2,2209.0264542462114,0.0,175.5761541,1330.770116,0.0
1,3,0.0,0.0,175.5761541,911.2544751,0.0
1,4,0.0,0.0,0.178410284,2436.070602,0.0
1,5,0.0,0.0,706.8670469,1253.994641,0.0
1,6,3204.6735472777973,0.0,27.94518088,859.3692529,0.0
1,7,449.9999999999999,0.0,327.8748749,1031.659373,0.0
1,8,0.0,0.0,175.5761541,1249.063719,0.0
1,9,1999.9999999999911,0.0,17.49599706,696.083657,0.0
1,10,0.0,0.0,327.8748749,1014.310739,0.0
1,11,0.0,0.0,450.2729752,1052.724825,0.0
1,12,1500.0,0.0,696.3817095,1562.890345,0.0
1,13,4600.0,0.0,111.469095,1243.649472,0.0
1,14,1099.9999999999995,0.0,163.6470295,1754.806778,0.0
1,15,0.0,0.0,4.523132972,947.4279336,0.0
1,16,3000.0,0.0,27.30856268,2101.954985,0.0
1,17,0.0,0.0,327.8748749,619.9177611,0.0
1,18,0.0,0.0,352.694339,705.2482454,0.0
1,19,0.0,0.0,111.469095,2189.947159,0.0
2,1,1330.0,0.0,314.3074273,913.5809435,0.0
2,2,1688.2130849801524,0.0,156.4666149,1258.744902,0.0
2,3,0.0,0.0,156.4666149,861.9346881,0.0
2,4,0.0,0.0,0.158992281,2304.223257,0.0
2,5,0.0,0.0,629.9323193,1186.124742,0.0
2,6,2923.8869154478357,0.0,24.90365434,812.8576475,0.0
2,7,449.99999999999983,0.0,292.1892897,975.8229171,0.0
2,8,0.0,0.0,156.4666149,1181.460696,0.0
2,9,1999.9999999999993,0.0,15.59174961,658.4095509,0.0
2,10,0.0,0.0,292.1892897,959.4132418,0.0
2,11,0.0,0.0,401.2656988,995.7482443,0.0
2,12,1499.9999999999998,0.0,620.5881958,1478.302097,0.0
2,13,4600.0,0.0,99.33690617,1176.339485,0.0
2,14,1100.0,0.0,145.8358446,1659.831446,0.0
2,15,0.0,0.0,4.030839541,896.150332,0.0
2,16,3000.0,0.0,24.33632506,1988.190965,0.0
2,17,0.0,0.0,292.1892897,586.3659786,0.0
2,18,0.0,0.0,314.3074273,667.0781247,0.0
2,19,0.0,0.0,99.33690617,2071.420742,0.0
3,1,1330.0,0.0,286.937108,881.7315549,0.0
3,2,1360.0,0.0,142.8412887,1214.862358,0.0
3,3,0.0,0.0,142.8412887,831.8857985,0.0
3,4,499.99999999999966,0.0,0.145147016,2223.893098,0.0
3,5,0.0,0.0,575.0769541,1144.773893,0.0
3,6,3157.3297099778406,0.0,22.73501017,784.5196887,0.0
3,7,450.0,0.0,266.745048,941.8036399,0.0
3,8,0.0,0.0,142.8412887,1140.272446,0.0
3,9,2000.0,0.0,14.2339988,635.4559836,0.0
3,10,0.0,0.0,266.745048,925.966041,0.0
3,11,0.0,0.0,366.3229347,961.0343275,0.0
3,12,1499.9999999999998,0.0,566.5465296,1426.76532,0.0
3,13,4600.0,0.0,90.68651295,1135.32977,0.0
3,14,1099.9999999999995,0.0,133.1362605,1601.966166,0.0
3,15,0.0,0.0,3.679828538,864.9086118,0.0
3,16,2157.570290608161,0.0,22.21708469,1918.878369,0.0
3,17,0.0,0.0,266.745048,565.9240045,0.0
3,18,0.0,0.0,286.937108,643.8223523,0.0
3,19,0.0,0.0,90.68651295,1999.206578,0.0
4,1,1330.0,0.0,271.2369078,875.5150709,0.0
4,2,1360.0,0.0,135.0255104,1206.297198,0.0
4,3,0.0,0.0,135.0255104,826.0207427,0.0
4,4,499.9999999999993,0.0,0.137205076,2208.213954,0.0
4,5,0.0,0.0,543.610744,1136.702878,0.0
4,6,3188.428864455965,0.0,21.49102951,778.9885789,0.0
4,7,450.0,0.0,252.149687,935.1636289,0.0
4,8,0.0,0.0,135.0255104,1132.233167,0.0
4,9,2000.0,0.0,13.45516391,630.9758196,0.0
4,10,0.0,0.0,252.149687,919.43769,0.0
4,11,0.0,0.0,346.2790182,954.2587341,0.0
4,12,1499.9999999999998,0.0,535.5470747,1416.706177,0.0
4,13,4600.0,0.0,85.72446249,1127.325339,0.0
4,14,1099.9999999999995,0.0,125.8515075,1590.671802,0.0
4,15,0.0,0.0,3.478481124,858.8107348,0.0
4,16,2174.2711341240347,0.0,21.00144312,1905.349674,0.0
4,17,0.0,0.0,252.149687,561.9340628,0.0
4,18,0.0,0.0,271.2369078,639.2832028,0.0
4,19,0.0,0.0,85.72446249,1985.111544,0.0
5,1,1330.0,0.0,237.1757202,875.7169048,0.0
5,2,1651.3711011718015,0.0,118.0693768,1206.575287,0.0
5,3,0.0,0.0,118.0693768,826.2111666,0.0
5,4,0.0,0.0,0.119975239,2208.723018,0.0
5,5,0.0,0.0,475.3455965,1136.964924,0.0
5,6,3014.1288995122104,0.0,18.79224492,779.1681604,0.0
5,7,449.99999999999955,0.0,220.4854203,935.3792137,0.0
5,8,0.0,0.0,118.0693768,1132.494183,0.0
5,9,2000.0,0.0,11.7655013,631.1212795,0.0
5,10,0.0,0.0,220.4854203,919.6496495,0.0
5,11,0.0,0.0,302.7942481,954.4787209,0.0
5,12,1500.0,0.0,468.2945407,1417.032772,0.0
5,13,4600.0,0.0,74.95941941,1127.585224,0.0
5,14,1099.9999999999993,0.0,110.0474201,1591.038502,0.0
5,15,0.0,0.0,3.041662997,859.0087179,0.0
5,16,3000.0,0.0,18.36413944,1905.788918,0.0
5,17,0.0,0.0,220.4854203,562.0636064,0.0
5,18,0.0,0.0,237.1757202,639.4305778,0.0
5,19,0.0,0.0,74.95941941,1985.569175,0.0
6,1,1330.0,0.0,212.1938853,912.5314073,0.0
6,2,2837.2145014286284,0.0,105.6330714,1257.298836,0.0
6,3,0.0,0.0,105.6330714,860.9444838,0.0
6,4,0.0,0.0,0.107338188,2301.576129,0.0
6,5,0.0,0.0,425.2772117,1184.762103,0.0
6,6,3061.3854982213034,0.0,16.81284855,811.9238238,0.0
6,7,450.0,0.0,197.2615829,974.7018763,0.0
6,8,0.0,0.0,105.6330714,1180.103415,0.0
6,9,1999.9999999999995,0.0,10.52623528,657.6531596,0.0
6,10,0.0,0.0,197.2615829,958.3110526,0.0
6,11,0.0,0.0,270.9007814,994.6043129,0.0
6,12,1500.0,0.0,418.9688471,1476.603801,0.0
6,13,4599.999999999999,0.0,67.063907,1174.988087,0.0
6,14,1100.0,0.0,98.45607136,1657.924605,0.0
6,15,0.0,0.0,2.721283142,895.1208203,0.0
6,16,3000.0,0.0,16.42983563,1985.906899,0.0
6,17,0.0,0.0,197.2615829,585.6923521,0.0
6,18,0.0,0.0,212.1938853,666.3117748,0.0
6,19,0.0,0.0,67.063907,2069.041061,0.0
7,1,1330.0,221.2186597,182.1861191,993.3456989,0.0
7,2,3104.7753208335857,140.7810611,90.69478749,1368.645924,0.0
7,3,0.0,140.7810611,90.69478749,937.1902087,0.0
7,4,0.0,9.299910833,0.092158772,2505.404997,0.0
7,5,0.0,96.78906628,365.1358974,1289.685298,0.0
7,6,2886.187875409594,108.14136,14.43523042,883.8282516,0.0
7,7,449.99999999999983,46.84897711,169.3654941,1061.022019,0.0
7,8,0.0,140.7810611,90.69478749,1284.614034,0.0
7,9,2000.0,424.8739103,9.037649464,715.8952911,0.0
7,10,0.0,46.84897711,169.3654941,1043.179615,0.0
7,11,0.0,84.62726703,232.5908777,1082.687027,0.0
7,12,1500.0,0.899450646,359.7196411,1607.372659,0.0
7,13,4058.1368032257424,8.532720317,57.57994831,1279.045689,0.0
7,14,1099.9999999999995,27.25744297,84.53273531,1804.751335,0.0
7,15,0.0,0.218730043,2.336448168,974.3932207,0.0
7,16,2999.9999999999995,2.699987301,14.10638194,2161.779925,0.0
7,17,0.0,46.84897711,169.3654941,637.5615943,0.0
7,18,0.0,221.2186597,182.1861191,725.3207181,0.0
7,19,1060.0,8.532720317,57.57994831,2252.276494,0.0
8,1,1330.0,1027.138203,146.4988949,1070.607714,0.0
8,2,0.0,653.6591727,72.92919027,1475.098634,0.0
8,3,0.0,653.6591727,72.92919027,1010.084473,0.0
8,4,0.0,43.18032536,0.074106405,2700.274356,0.0
8,5,0.0,449.4003704,293.611861,1389.996483,0.0
8,6,1985.164662071628,502.1100945,11.60760938,952.5720452,0.0
8,7,450.0,217.5240291,136.1896167,1143.547871,0.0
8,8,0.0,653.6591727,72.92919027,1384.530779,0.0
8,9,2000.0,1972.727912,7.267324568,771.577329,0.0
8,10,0.0,217.5240291,136.1896167,1124.317692,0.0
8,11,0.0,392.9320388,187.0302014,1166.897973,0.0
8,12,1500.0,4.176230526,289.256559,1732.393435,0.0
8,13,4292.8547705742585,39.61819055,46.30099614,1378.529331,0.0
8,14,1100.0,126.5587678,67.97418141,1945.124143,0.0
8,15,0.0,1.015583333,1.878776914,1050.18112,0.0
8,16,2669.280568208114,12.53628473,11.34317683,2329.922268,0.0
8,17,0.0,217.5240291,136.1896167,687.1508698,0.0
8,18,0.0,1027.138203,146.4988949,781.7358617,0.0
8,19,1060.0,39.61819055,46.30099614,2427.457623,0.0
9,1,1324.9040573384164,1752.061245,147.5569857,1100.317663,0.0
9,2,0.0,1114.992024,73.4559226,1516.033428,0.0
9,3,0.0,1114.992024,73.4559226,1038.11487,0.0
9,4,500.0,73.6556915,0.07464164,2775.208445,0.0
9,5,0.0,766.573544,295.7324777,1428.569646,0.0
9,6,0.0,856.4841954,11.69144554,979.0064403,0.0
9,7,0.0,371.0459022,137.1732486,1175.281949,0.0
9,8,0.0,1114.992024,73.4559226,1422.952265,0.0
9,9,0.0,3365.019539,7.319812945,792.9890217,28.415209572049704
9,10,0.0,371.0459022,137.1732486,1155.518122,0.0
