hour,tech,Pg,Ng
1,CC,15080.0,29
1,Nuclear,7000.0,7
1,CR,0.0,0
1,Biomasa,720.0,33
2,CC,14710.0,29
2,Nuclear,7000.0,7
2,CR,0.0,0
2,Biomasa,390.0,33
3,CC,14136.0,29
3,Nuclear,7000.0,7
3,CR,0.0,0
3,Biomasa,264.0,33
4,CC,14072.0,29
4,Nuclear,7000.0,7
4,CR,0.0,0
4,Biomasa,128.0,16
5,CC,14992.0,29
5,Nuclear,7000.0,7
5,CR,0.0,0
5,Biomasa,8.0,1
6,CC,17150.0,33
6,Nuclear,7000.0,7
6,CR,0.0,0
6,Biomasa,0.0,0
7,CC,19984.0,39
7,Nuclear,7000.0,7
7,CR,0.0,0
7,Biomasa,16.0,2
8,CC,22360.0,43
8,Nuclear,7000.0,7
8,CR,0.0,0
8,Biomasa,40.0,3
9,CC,23400.0,45
9,Nuclear,7000.0,7
9,CR,15.0,1
9,Biomasa,85.0,5
10,CC,23400.0,45
10,Nuclear,7000.0,7
10,CR,45.0,1
10,Biomasa,155.0,8
11,CC,23400.0,45
11,Nuclear,7000.0,7
11,CR,60.0,1
11,Biomasa,240.0,13
12,CC,23400.0,45
12,Nuclear,7000.0,7
12,CR,105.0,2
12,Biomasa,295.0,17
13,CC,23885.0,46
13,Nuclear,7000.0,7
13,CR,180.0,3
13,Biomasa,135.0,12
14,CC,23918.0,46
14,Nuclear,7000.0,7
14,CR,300.0,5
14,Biomasa,32.0,4
15,CC,23920.0,46
15,Nuclear,7000.0,7
15,CR,660.0,19
15,Biomasa,20.0,1
16,CC,23920.0,46
16,Nuclear,7000.0,7
16,CR,1260.0,21
16,Biomasa,220.0,25
17,CC,23852.0,46
17,Nuclear,7000.0,7
17,CR,2100.0,35
17,Biomasa,548.0,35
18,CC,23920.0,46
18,Nuclear,7000.0,7
18,CR,3510.0,59
18,Biomasa,970.0,44
19,CC,23920.0,46
19,Nuclear,7000.0,7
19,CR,3960.0,66
19,Biomasa,920.0,42
20,CC,23920.0,46
20,Nuclear,7000.0,7
20,CR,2370.0,40
20,Biomasa,610.0,36
21,CC,22843.0,45
21,Nuclear,7000.0,7
21,CR,1395.0,25
21,Biomasa,262.0,30
22,CC,20814.0,44
22,Nuclear,7000.0,7
22,CR,810.0,14
22,Biomasa,176.0,22
23,CC,19556.0,43
23,Nuclear,7000.0,7
23,CR,480.0,8
23,Biomasa,64.0,8
24,CC,18115.0,42
24,Nuclear,7000.0,7
24,CR,285.0,5
24,Biomasa,0.0,0
