hour,tech,Ng_on,Nst_cmd,Nsg_start,Nsd_stop,Pg_MW,PD_MW,PRES_avail_MW,Pcurt_MW,cost_tech_EUR,cost_hour_total_EUR
1,CC,3,10,10,7,5363.710000000001,23927.0,4533.3,0.0,222154.12720000005,557776.1157
1,Nuclear,2,2,2,0,7000.0,23927.0,4533.3,0.0,158296.16,557776.1157
1,CR,0,4,4,4,0.0,23927.0,4533.3,0.0,0.0,557776.1157
1,Biomasa,3,3,3,0,7029.99,23927.0,4533.3,0.0,177325.82849999997,557776.1157
2,CC,3,0,0,0,4562.109999999999,22632.0,4039.9,0.0,189032.01519999997,524654.0036999999
2,Nuclear,2,0,0,0,7000.0,22632.0,4039.9,0.0,158296.16,524654.0036999999
2,CR,0,0,0,0,0.0,22632.0,4039.9,0.0,0.0,524654.0036999999
2,Biomasa,3,0,0,0,7029.99,22632.0,4039.9,0.0,177325.82849999997,524654.0036999999
3,CC,3,0,0,0,4124.910000000002,21843.0,3688.1,0.0,170966.91120000006,506588.89970000007
3,Nuclear,2,0,0,0,7000.0,21843.0,3688.1,0.0,158296.16,506588.89970000007
3,CR,0,0,0,0,0.0,21843.0,3688.1,0.0,0.0,506588.89970000007
3,Biomasa,3,0,0,0,7029.99,21843.0,3688.1,0.0,177325.82849999997,506588.89970000007
4,CC,3,0,0,0,4172.710000000001,21689.0,3486.3,0.0,172942.00720000005,508563.99569999997
4,Nuclear,2,0,0,0,7000.0,21689.0,3486.3,0.0,158296.16,508563.99569999997
4,CR,0,0,0,0,0.0,21689.0,3486.3,0.0,0.0,508563.99569999997
4,Biomasa,3,0,0,0,7029.99,21689.0,3486.3,0.0,177325.82849999997,508563.99569999997
5,CC,3,0,0,0,4615.51,21694.0,3048.5,0.0,191238.5032,526860.4917
5,Nuclear,2,0,0,0,7000.0,21694.0,3048.5,0.0,158296.16,526860.4917
5,CR,0,0,0,0,0.0,21694.0,3048.5,0.0,0.0,526860.4917
5,Biomasa,3,0,0,0,7029.99,21694.0,3048.5,0.0,177325.82849999997,526860.4917
6,CC,4,1,1,0,5848.609999999999,22606.0,2727.4,0.0,242365.40519999995,577987.3936999999
6,Nuclear,2,0,0,0,7000.0,22606.0,2727.4,0.0,158296.16,577987.3936999999
6,CR,0,0,0,0,0.0,22606.0,2727.4,0.0,0.0,577987.3936999999
6,Biomasa,3,0,0,0,7029.99,22606.0,2727.4,0.0,177325.82849999997,577987.3936999999
7,CC,4,0,0,0,6460.01,24608.0,4118.0,0.0,267628.45320000005,603250.4417
7,Nuclear,2,0,0,0,7000.0,24608.0,4118.0,0.0,158296.16,603250.4417
7,CR,0,0,0,0,0.0,24608.0,4118.0,0.0,0.0,603250.4417
7,Biomasa,3,0,0,0,7029.99,24608.0,4118.0,0.0,177325.82849999997,603250.4417
8,CC,3,0,0,1,2277.6,26522.0,10139.4,0.0,94636.062,434903.09199999995
8,Nuclear,2,0,0,0,7000.0,26522.0,10139.4,0.0,158296.16,434903.09199999995
8,CR,1,1,1,0,137.0,26522.0,10139.4,0.0,6204.09,434903.09199999995
8,Biomasa,3,0,0,0,6968.0,26522.0,10139.4,0.0,175766.77999999997,434903.09199999995
9,CC,0,0,0,3,0.0,27258.0,15991.5,0.0,0.0,265946.355
9,Nuclear,2,0,0,0,7000.0,27258.0,15991.5,0.0,158296.16,265946.355
9,CR,0,0,0,1,0.0,27258.0,15991.5,0.0,0.0,265946.355
9,Biomasa,2,0,0,1,4266.5,27258.0,15991.5,0.0,107650.19499999999,265946.355
10,CC,0,0,0,0,0.0,27442.0,18307.8,0.0,0.0,212145.15
10,Nuclear,2,0,0,0,7000.0,27442.0,18307.8,0.0,158296.16,212145.15
10,CR,0,0,0,0,0.0,27442.0,18307.8,0.0,0.0,212145.15
10,Biomasa,1,0,0,1,2134.2,27442.0,18307.8,0.0,53848.98999999999,212145.15
11,CC,0,0,0,0,0.0,27321.0,19395.600000000002,0.0,0.0,181788.20959999994
11,Nuclear,2,0,0,0,6988.070000000002,27321.0,19395.600000000002,0.0,158040.50010000006,181788.20959999994
11,CR,0,0,0,0,0.0,27321.0,19395.600000000002,0.0,0.0,181788.20959999994
11,Biomasa,1,0,0,0,937.3299999999954,27321.0,19395.600000000002,0.0,23747.709499999884,181788.20959999994
12,CC,0,0,0,0,0.0,27689.0,20115.5,0.0,0.0,174246.9925951503
12,Nuclear,2,0,0,0,6636.169999773702,27689.0,20115.5,0.0,150499.28309515043,174246.9925951503
12,CR,0,0,0,0,0.0,27689.0,20115.5,0.0,0.0,174246.9925951503
12,Biomasa,1,0,0,0,937.3299999999954,27689.0,20115.5,0.0,23747.709499999884,174246.9925951503
13,CC,0,0,0,0,0.0,27303.0,20527.3,0.0,0.0,153489.411
13,Nuclear,2,0,0,0,6775.7,27303.0,20527.3,0.0,153489.411,153489.411
13,CR,0,0,0,0,0.0,27303.0,20527.3,0.0,0.0,153489.411
13,Biomasa,0,0,0,1,0.0,27303.0,20527.3,0.0,0.0,153489.411
14,CC,0,0,0,0,0.0,27466.0,21190.6,24.6,0.0,143295.16
14,Nuclear,2,0,0,0,6300.0,27466.0,21190.6,24.6,143295.16,143295.16
14,CR,0,0,0,0,0.0,27466.0,21190.6,24.6,0.0,143295.16
14,Biomasa,0,0,0,0,0.0,27466.0,21190.6,24.6,0.0,143295.16
15,CC,0,0,0,0,0.0,26945.0,21038.5,55.48999999998932,0.0,142890.70849999983
15,Nuclear,1,0,0,1,3150.0,26945.0,21038.5,55.48999999998932,71647.58,142890.70849999983
15,CR,0,0,0,0,0.0,26945.0,21038.5,55.48999999998932,0.0,142890.70849999983
15,Biomasa,3,3,3,0,2811.989999999994,26945.0,21038.5,55.48999999998932,71243.12849999985,142890.70849999983
16,CC,0,0,0,0,0.0,26119.0,20908.7,0.0,0.0,122335.98499999999
16,Nuclear,1,0,0,0,3499.999999999999,26119.0,20908.7,0.0,79148.07999999999,122335.98499999999
16,CR,0,0,0,0,0.0,26119.0,20908.7,0.0,0.0,122335.98499999999
16,Biomasa,1,0,0,2,1710.3,26119.0,20908.7,0.0,43187.905,122335.98499999999
