hour,tech,Ng_on,Nst_cmd,Nsg_start,Nsd_stop,Pg_MW,PD_MW,PRES_avail_MW,Pcurt_MW,Ddef_MW,Dspill_MW,cost_tech_EUR,cost_hour_total_EUR
1,CC,5,5,5,0,9490.0,23927.0,4533.3,0.0,0.0,0.0,666800.0,930671.0
1,Nuclear,2,2,2,0,7000.0,23927.0,4533.3,0.0,0.0,0.0,74000.0,930671.0
1,CR,2,2,2,0,685.0,23927.0,4533.3,0.0,0.0,0.0,10875.0,930671.0
1,Biomasa,1,1,1,0,2218.7,23927.0,4533.3,0.0,0.0,0.0,178996.0,930671.0
2,CC,5,0,0,0,8805.6,22632.0,4039.9,0.0,0.0,0.0,618892.0,873387.0
2,Nuclear,2,0,0,0,7000.0,22632.0,4039.9,0.0,0.0,0.0,74000.0,873387.0
2,CR,2,0,0,0,685.0,22632.0,4039.9,0.0,0.0,0.0,10875.0,873387.0
2,Biomasa,1,0,0,0,2101.5,22632.0,4039.9,0.0,0.0,0.0,169620.0,873387.0
3,CC,5,0,0,0,8485.6,21843.0,3688.1,0.0,0.0,0.0,596492.0,841611.0
3,Nuclear,2,0,0,0,7000.0,21843.0,3688.1,0.0,0.0,0.0,74000.0,841611.0
3,CR,2,0,0,0,685.0,21843.0,3688.1,0.0,0.0,0.0,10875.0,841611.0
3,Biomasa,1,0,0,0,1984.3,21843.0,3688.1,0.0,0.0,0.0,160244.0,841611.0
4,CC,5,0,0,0,8650.6,21689.0,3486.3,0.0,0.0,0.0,608042.0,843785.0
4,Nuclear,2,0,0,0,7000.0,21689.0,3486.3,0.0,0.0,0.0,74000.0,843785.0
4,CR,2,0,0,0,685.0,21689.0,3486.3,0.0,0.0,0.0,10875.0,843785.0
4,Biomasa,1,0,0,0,1867.1,21689.0,3486.3,0.0,0.0,0.0,150868.0,843785.0
5,CC,5,0,0,0,8868.1,21694.0,3048.5,0.0,0.0,0.0,623267.0,865371.5
5,Nuclear,2,0,0,0,7000.0,21694.0,3048.5,0.0,0.0,0.0,74000.0,865371.5
5,CR,4,0,2,0,1027.5,21694.0,3048.5,0.0,0.0,0.0,26612.5,865371.5
5,Biomasa,1,0,0,0,1749.9,21694.0,3048.5,0.0,0.0,0.0,141492.0,865371.5
6,CC,9,0,5,1,10081.399999999996,22606.0,2727.4,0.0,0.0,0.0,1.1101979999999998e6,1.3349814999999998e6
6,Nuclear,2,0,0,0,7000.0,22606.0,2727.4,0.0,0.0,0.0,74000.0,1.3349814999999998e6
6,CR,4,0,0,0,1164.5,22606.0,2727.4,0.0,0.0,0.0,18667.5,1.3349814999999998e6
6,Biomasa,1,0,0,0,1632.7,22606.0,2727.4,0.0,0.0,0.0,132116.0,1.3349814999999998e6
7,CC,9,0,0,0,10313.54,24608.0,4118.0,0.0,0.0,0.0,726447.8,994167.1
7,Nuclear,2,0,0,0,7000.0,24608.0,4118.0,0.0,0.0,0.0,74000.0,994167.1
7,CR,4,0,0,0,1301.5,24608.0,4118.0,0.0,0.0,0.0,20722.5,994167.1
7,Biomasa,2,0,1,0,1874.9599999999991,24608.0,4118.0,0.0,0.0,0.0,172996.79999999993,994167.1
8,CC,7,0,0,2,6137.9400000000005,26522.0,10139.4,0.0,0.0,0.0,433155.80000000005,681878.6000000001
8,Nuclear,2,0,0,0,7000.0,26522.0,10139.4,0.0,0.0,0.0,74000.0,681878.6000000001
8,CR,4,0,0,0,1370.0,26522.0,10139.4,0.0,0.0,0.0,21750.0,681878.6000000001
8,Biomasa,2,0,0,0,1874.6599999999999,26522.0,10139.4,0.0,0.0,0.0,152972.8,681878.6000000001
9,CC,3,0,0,4,2277.6,27258.0,15991.5,0.0,0.0,0.0,160932.0,329299.1000000004
9,Nuclear,2,0,0,0,6818.569999999995,27258.0,15991.5,0.0,0.0,0.0,72185.69999999995,329299.1000000004
9,CR,4,0,0,0,1233.0,27258.0,15991.5,0.0,0.0,0.0,19695.0,329299.1000000004
9,Biomasa,1,0,0,1,937.3300000000052,27258.0,15991.5,0.0,0.0,0.0,76486.40000000042,329299.1000000004
10,CC,0,0,0,3,0.0,27442.0,18307.8,0.0,0.0,0.0,0.0,169639.45000000007
10,Nuclear,2,0,0,0,7000.0,27442.0,18307.8,0.0,0.0,0.0,74000.0,169639.45000000007
10,CR,4,0,0,0,1196.87,27442.0,18307.8,0.0,0.0,0.0,19153.05,169639.45000000007
10,Biomasa,1,0,0,0,937.3300000000008,27442.0,18307.8,0.0,0.0,0.0,76486.40000000007,169639.45000000007
11,CC,0,0,0,0,0.0,27321.0,19395.600000000002,769.05,0.0,0.0,0.0,163743.19999999963
11,Nuclear,2,0,0,0,6800.0,27321.0,19395.600000000002,769.05,0.0,0.0,72000.0,163743.19999999963
11,CR,3,0,0,1,957.1199999999999,27321.0,19395.600000000002,769.05,0.0,0.0,15256.8,163743.19999999963
11,Biomasa,1,0,0,0,937.3299999999954,27321.0,19395.600000000002,769.05,0.0,0.0,76486.39999999963,163743.19999999963
12,CC,0,0,0,0,0.0,27689.0,20115.5,818.2,0.0,0.0,0.0,160201.94999999963
12,Nuclear,2,0,0,0,6600.0,27689.0,20115.5,818.2,0.0,0.0,70000.0,160201.94999999963
12,CR,3,0,0,0,854.3699999999999,27689.0,20115.5,818.2,0.0,0.0,13715.55,160201.94999999963
12,Biomasa,1,0,0,0,937.3299999999954,27689.0,20115.5,818.2,0.0,0.0,76486.39999999963,160201.94999999963
13,CC,0,0,0,0,0.0,27303.0,20527.3,1313.25,0.0,0.0,0.0,156660.69999999963
13,Nuclear,2,0,0,0,6400.0,27303.0,20527.3,1313.25,0.0,0.0,68000.0,156660.69999999963
13,CR,3,0,0,0,751.6199999999999,27303.0,20527.3,1313.25,0.0,0.0,12174.3,156660.69999999963
13,Biomasa,1,0,0,0,937.3299999999954,27303.0,20527.3,1313.25,0.0,0.0,76486.39999999963,156660.69999999963
14,CC,0,8,0,0,0.0,27466.0,21190.6,1610.8,0.0,0.0,0.0,154119.44999999963
14,Nuclear,2,0,0,0,6300.0,27466.0,21190.6,1610.8,0.0,0.0,67000.0,154119.44999999963
14,CR,3,0,0,0,648.8699999999999,27466.0,21190.6,1610.8,0.0,0.0,10633.05,154119.44999999963
14,Biomasa,1,1,0,0,937.3299999999954,27466.0,21190.6,1610.8,0.0,0.0,76486.39999999963,154119.44999999963
15,CC,0,2,0,0,0.0,26945.0,21038.5,1121.55,0.0,0.0,0.0,78320.75
15,Nuclear,2,0,0,0,6400.0,26945.0,21038.5,1121.55,0.0,0.0,68000.0,78320.75
15,CR,3,0,0,0,628.05,26945.0,21038.5,1121.55,0.0,0.0,10320.75,78320.75
15,Biomasa,0,1,0,1,0.0,26945.0,21038.5,1121.55,0.0,0.0,0.0,78320.75
16,CC,0,0,0,0,0.0,26119.0,20908.7,2120.5,0.0,0.0,0.0,81862.0
16,Nuclear,2,0,0,0,6600.0,26119.0,20908.7,2120.5,0.0,0.0,70000.0,81862.0
16,CR,3,1,0,0,730.8,26119.0,20908.7,2120.5,0.0,0.0,11862.0,81862.0
16,Biomasa,0,0,0,0,0.0,26119.0,20908.7,2120.5,0.0,0.0,0.0,81862.0
17,CC,0,0,0,0,0.0,26250.0,20514.699999999997,1898.25,0.0,0.0,0.0,85403.25
17,Nuclear,2,0,0,0,6800.0,26250.0,20514.699999999997,1898.25,0.0,0.0,72000.0,85403.25
17,CR,3,0,0,0,833.55,26250.0,20514.699999999997,1898.25,0.0,0.0,13403.25,85403.25
17,Biomasa,0,0,0,0,0.0,26250.0,20514.699999999997,1898.25,0.0,0.0,0.0,85403.25
18,CC,0,0,0,0,0.0,27082.0,19145.7,0.0,0.0,0.0,0.0,88944.49999999999
18,Nuclear,2,0,0,0,6999.999999999999,27082.0,19145.7,0.0,0.0,0.0,73999.99999999999,88944.49999999999
18,CR,3,0,0,0,936.3,27082.0,19145.7,0.0,0.0,0.0,14944.5,88944.49999999999
18,Biomasa,0,0,0,0,0.0,27082.0,19145.7,0.0,0.0,0.0,0.0,88944.49999999999
19,CC,8,0,8,0,6073.6,27700.0,15512.099999999999,1678.95,0.0,0.0,1.069152e6,1.15695075e6
19,Nuclear,2,0,0,0,6800.0,27700.0,15512.099999999999,1678.95,0.0,0.0,72000.0,1.15695075e6
19,CR,3,0,0,0,993.25,27700.0,15512.099999999999,1678.95,0.0,0.0,15798.75,1.15695075e6
19,Biomasa,0,0,0,0,0.0,27700.0,15512.099999999999,1678.95,0.0,0.0,0.0,1.15695075e6
20,CC,10,0,2,0,10588.239999999998,28381.0,9284.4,461.96999999999935,0.0,0.0,906176.7999999998,1.0993581999999997e6
20,Nuclear,2,0,0,0,6800.0,28381.0,9284.4,461.96999999999935,0.0,0.0,72000.0,1.0993581999999997e6
20,CR,4,0,1,0,1233.0,28381.0,9284.4,461.96999999999935,0.0,0.0,24695.0,1.0993581999999997e6
20,Biomasa,1,0,1,0,937.33,28381.0,9284.4,461.96999999999935,0.0,0.0,96486.40000000001,1.0993581999999997e6
21,CC,10,0,0,0,14384.239999999998,28474.0,3727.9,0.0,0.0,0.0,1.0118967999999998e6,1.2899955999999999e6
21,Nuclear,2,0,0,0,7000.0,28474.0,3727.9,0.0,0.0,0.0,74000.0,1.2899955999999999e6
21,CR,4,0,0,0,1370.0,28474.0,3727.9,0.0,0.0,0.0,21750.0,1.2899955999999999e6
21,Biomasa,2,0,1,0,1991.8600000000001,28474.0,3727.9,0.0,0.0,0.0,182348.80000000002,1.2899955999999999e6
22,CC,8,0,0,2,15136.740000000005,28216.0,2834.6,0.0,0.0,0.0,1.0635718000000003e6,1.3122946e6
22,Nuclear,2,0,0,0,7000.0,28216.0,2834.6,0.0,0.0,0.0,74000.0,1.3122946e6
22,CR,4,0,0,0,1370.0,28216.0,2834.6,0.0,0.0,0.0,21750.0,1.3122946e6
22,Biomasa,2,0,0,0,1874.6599999999971,28216.0,2834.6,0.0,0.0,0.0,152972.79999999976,1.3122946e6
23,CC,8,0,0,0,13518.54,26611.0,2847.8,0.0,0.0,0.0,950297.8,1.1990206e6
23,Nuclear,2,0,0,0,7000.0,26611.0,2847.8,0.0,0.0,0.0,74000.0,1.1990206e6
23,CR,4,0,0,0,1370.0,26611.0,2847.8,0.0,0.0,0.0,21750.0,1.1990206e6
23,Biomasa,2,0,0,0,1874.659999999999,26611.0,2847.8,0.0,0.0,0.0,152972.79999999993,1.1990206e6
24,CC,6,0,0,2,11388.0,24562.0,2914.8,0.0,0.0,0.0,800160.0,1.050046e6
24,Nuclear,2,0,0,0,7000.0,24562.0,2914.8,0.0,0.0,0.0,74000.0,1.050046e6
24,CR,4,0,0,0,1370.0,24562.0,2914.8,0.0,0.0,0.0,21750.0,1.050046e6
24,Biomasa,2,0,0,0,1889.2,24562.0,2914.8,0.0,0.0,0.0,154136.0,1.050046e6
